Gene.ID,Cluster
HORVU.MOREX.r3.1HG0079990,Cluster 2
HORVU.MOREX.r3.1HG0080140,Cluster 2
HORVU.MOREX.r3.1HG0080180,Cluster 2
HORVU.MOREX.r3.1HG0080790,Cluster 2
HORVU.MOREX.r3.1HG0080890,Cluster 2
HORVU.MOREX.r3.1HG0081580,Cluster 2
HORVU.MOREX.r3.1HG0081630,Cluster 2
HORVU.MOREX.r3.1HG0081700,Cluster 2
HORVU.MOREX.r3.1HG0081790,Cluster 2
HORVU.MOREX.r3.1HG0081820,Cluster 2
HORVU.MOREX.r3.1HG0082060,Cluster 2
HORVU.MOREX.r3.1HG0082230,Cluster 2
HORVU.MOREX.r3.1HG0082530,Cluster 2
HORVU.MOREX.r3.1HG0082620,Cluster 2
HORVU.MOREX.r3.1HG0082790,Cluster 2
HORVU.MOREX.r3.1HG0083250,Cluster 2
HORVU.MOREX.r3.1HG0083630,Cluster 2
HORVU.MOREX.r3.1HG0083720,Cluster 2
HORVU.MOREX.r3.1HG0083950,Cluster 2
HORVU.MOREX.r3.1HG0084680,Cluster 2
HORVU.MOREX.r3.1HG0084740,Cluster 2
HORVU.MOREX.r3.1HG0084760,Cluster 2
HORVU.MOREX.r3.1HG0085210,Cluster 2
HORVU.MOREX.r3.1HG0085240,Cluster 2
HORVU.MOREX.r3.1HG0085320,Cluster 2
HORVU.MOREX.r3.1HG0085420,Cluster 2
HORVU.MOREX.r3.1HG0085950,Cluster 2
HORVU.MOREX.r3.1HG0086250,Cluster 2
HORVU.MOREX.r3.1HG0086360,Cluster 2
HORVU.MOREX.r3.1HG0086430,Cluster 2
HORVU.MOREX.r3.1HG0086460,Cluster 2
HORVU.MOREX.r3.1HG0086540,Cluster 2
HORVU.MOREX.r3.1HG0086720,Cluster 2
HORVU.MOREX.r3.1HG0086800,Cluster 2
HORVU.MOREX.r3.1HG0087170,Cluster 2
HORVU.MOREX.r3.1HG0087230,Cluster 2
HORVU.MOREX.r3.1HG0087270,Cluster 2
HORVU.MOREX.r3.1HG0087610,Cluster 2
HORVU.MOREX.r3.1HG0087620,Cluster 2
HORVU.MOREX.r3.1HG0087670,Cluster 2
HORVU.MOREX.r3.1HG0088680,Cluster 2
HORVU.MOREX.r3.1HG0089000,Cluster 2
HORVU.MOREX.r3.1HG0089130,Cluster 2
HORVU.MOREX.r3.1HG0089190,Cluster 2
HORVU.MOREX.r3.1HG0089480,Cluster 2
HORVU.MOREX.r3.1HG0089580,Cluster 2
HORVU.MOREX.r3.1HG0089590,Cluster 2
HORVU.MOREX.r3.1HG0090010,Cluster 2
HORVU.MOREX.r3.1HG0090060,Cluster 2
HORVU.MOREX.r3.1HG0090130,Cluster 2
HORVU.MOREX.r3.1HG0090330,Cluster 2
HORVU.MOREX.r3.1HG0090410,Cluster 2
HORVU.MOREX.r3.1HG0090650,Cluster 2
HORVU.MOREX.r3.1HG0090740,Cluster 2
HORVU.MOREX.r3.1HG0090990,Cluster 2
HORVU.MOREX.r3.1HG0091150,Cluster 2
HORVU.MOREX.r3.1HG0091290,Cluster 2
HORVU.MOREX.r3.1HG0091340,Cluster 2
HORVU.MOREX.r3.1HG0091360,Cluster 2
HORVU.MOREX.r3.1HG0091980,Cluster 2
HORVU.MOREX.r3.1HG0091990,Cluster 2
HORVU.MOREX.r3.1HG0092170,Cluster 2
HORVU.MOREX.r3.1HG0092410,Cluster 2
HORVU.MOREX.r3.1HG0092660,Cluster 2
HORVU.MOREX.r3.1HG0092880,Cluster 2
HORVU.MOREX.r3.1HG0093090,Cluster 2
HORVU.MOREX.r3.1HG0093280,Cluster 2
HORVU.MOREX.r3.1HG0093330,Cluster 2
HORVU.MOREX.r3.1HG0093450,Cluster 2
HORVU.MOREX.r3.1HG0093940,Cluster 2
HORVU.MOREX.r3.1HG0094040,Cluster 2
HORVU.MOREX.r3.1HG0094050,Cluster 2
HORVU.MOREX.r3.1HG0094810,Cluster 2
HORVU.MOREX.r3.1HG0094890,Cluster 2
HORVU.MOREX.r3.1HG0095070,Cluster 2
HORVU.MOREX.r3.1HG0095100,Cluster 2
HORVU.MOREX.r3.1HG0095200,Cluster 2
HORVU.MOREX.r3.1HG0095210,Cluster 2
HORVU.MOREX.r3.1HG0095230,Cluster 2
HORVU.MOREX.r3.1HG0095290,Cluster 2
HORVU.MOREX.r3.1HG0095390,Cluster 2
HORVU.MOREX.r3.2HG0095670,Cluster 2
HORVU.MOREX.r3.2HG0095860,Cluster 2
HORVU.MOREX.r3.2HG0096010,Cluster 2
HORVU.MOREX.r3.2HG0096080,Cluster 2
HORVU.MOREX.r3.2HG0096410,Cluster 2
HORVU.MOREX.r3.2HG0096440,Cluster 2
HORVU.MOREX.r3.2HG0096460,Cluster 2
HORVU.MOREX.r3.2HG0096480,Cluster 2
HORVU.MOREX.r3.2HG0096500,Cluster 2
HORVU.MOREX.r3.2HG0096520,Cluster 2
HORVU.MOREX.r3.2HG0096780,Cluster 2
HORVU.MOREX.r3.2HG0097600,Cluster 2
HORVU.MOREX.r3.2HG0097620,Cluster 2
HORVU.MOREX.r3.2HG0097840,Cluster 2
HORVU.MOREX.r3.2HG0098620,Cluster 2
HORVU.MOREX.r3.2HG0098970,Cluster 2
HORVU.MOREX.r3.2HG0099060,Cluster 2
HORVU.MOREX.r3.2HG0099690,Cluster 2
HORVU.MOREX.r3.2HG0099800,Cluster 2
HORVU.MOREX.r3.2HG0099840,Cluster 2
HORVU.MOREX.r3.2HG0099930,Cluster 2
HORVU.MOREX.r3.2HG0099990,Cluster 2
HORVU.MOREX.r3.2HG0100060,Cluster 2
HORVU.MOREX.r3.2HG0100180,Cluster 2
HORVU.MOREX.r3.2HG0100260,Cluster 2
HORVU.MOREX.r3.2HG0100290,Cluster 2
HORVU.MOREX.r3.2HG0100360,Cluster 2
HORVU.MOREX.r3.2HG0100380,Cluster 2
HORVU.MOREX.r3.2HG0100390,Cluster 2
HORVU.MOREX.r3.2HG0100410,Cluster 2
HORVU.MOREX.r3.2HG0100760,Cluster 2
HORVU.MOREX.r3.2HG0101220,Cluster 2
HORVU.MOREX.r3.2HG0102500,Cluster 2
HORVU.MOREX.r3.2HG0102600,Cluster 2
HORVU.MOREX.r3.2HG0102650,Cluster 2
HORVU.MOREX.r3.2HG0102890,Cluster 2
HORVU.MOREX.r3.2HG0102910,Cluster 2
HORVU.MOREX.r3.2HG0102920,Cluster 2
HORVU.MOREX.r3.2HG0103170,Cluster 2
HORVU.MOREX.r3.2HG0103190,Cluster 2
HORVU.MOREX.r3.2HG0103630,Cluster 2
HORVU.MOREX.r3.2HG0103660,Cluster 2
HORVU.MOREX.r3.2HG0103900,Cluster 2
HORVU.MOREX.r3.2HG0103930,Cluster 2
HORVU.MOREX.r3.2HG0104780,Cluster 2
HORVU.MOREX.r3.2HG0104810,Cluster 2
HORVU.MOREX.r3.2HG0105270,Cluster 2
HORVU.MOREX.r3.2HG0105350,Cluster 2
HORVU.MOREX.r3.2HG0105670,Cluster 2
HORVU.MOREX.r3.2HG0106260,Cluster 2
HORVU.MOREX.r3.2HG0106350,Cluster 2
HORVU.MOREX.r3.2HG0106870,Cluster 2
HORVU.MOREX.r3.2HG0107480,Cluster 2
HORVU.MOREX.r3.2HG0107710,Cluster 2
HORVU.MOREX.r3.2HG0107800,Cluster 2
HORVU.MOREX.r3.2HG0108020,Cluster 2
HORVU.MOREX.r3.2HG0108130,Cluster 2
HORVU.MOREX.r3.2HG0108240,Cluster 2
HORVU.MOREX.r3.2HG0108930,Cluster 2
