Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.7HG0682090,1.251749954,5.519716331,1.50E-06,0.000114026
HORVU.MOREX.r3.7HG0647190,1.252440322,5.483242064,1.50E-06,0.000114026
HORVU.MOREX.r3.5HG0462600,1.580134965,3.817537895,1.63E-06,0.000122954
HORVU.MOREX.r3.2HG0101890,1.269087422,5.139533715,1.75E-06,0.000131351
HORVU.MOREX.r3.2HG0154660,3.036137438,1.211943992,1.82E-06,0.000136594
HORVU.MOREX.r3.3HG0321590,2.054579451,2.74927642,2.01E-06,0.000149518
HORVU.MOREX.r3.2HG0186680,2.463604316,2.010401547,2.04E-06,0.000151475
HORVU.MOREX.r3.3HG0297360,1.254258275,5.197374659,2.07E-06,0.000152674
HORVU.MOREX.r3.7HG0712010,-1.352888944,4.529467025,2.08E-06,0.000152674
HORVU.MOREX.r3.1HG0029480,1.246659922,5.282668633,2.09E-06,0.000152674
HORVU.MOREX.r3.7HG0736410,2.768900443,1.535162274,2.11E-06,0.000153668
HORVU.MOREX.r3.4HG0384780,-2.358500936,2.164514069,2.16E-06,0.000156223
HORVU.MOREX.r3.5HG0433990,-1.40892271,4.26794065,2.32E-06,0.000167128
HORVU.MOREX.r3.7HG0733220,1.375789314,4.401816211,2.34E-06,0.000168022
HORVU.MOREX.r3.6HG0542050,-1.688369668,3.461248547,2.52E-06,0.000180316
HORVU.MOREX.r3.1HG0016710,1.505927204,3.904214005,2.81E-06,0.000199791
HORVU.MOREX.r3.3HG0250140,-1.323843731,4.57142165,2.85E-06,0.000201684
HORVU.MOREX.r3.7HG0637280,-1.398004516,4.254059544,2.91E-06,0.000205482
HORVU.MOREX.r3.5HG0520830,1.282326896,4.792479683,3.01E-06,0.000211334
HORVU.MOREX.r3.6HG0542040,-2.361347853,2.082120597,3.09E-06,0.000216274
HORVU.MOREX.r3.6HG0540160,1.266279971,4.877879992,3.18E-06,0.000221411
HORVU.MOREX.r3.5HG0523850,1.45321143,4.04413949,3.20E-06,0.000221492
